name,lat,long,type
Sens?-ji,35.7147694,139.7940804,Shrine
Tokyo Skytree,35.710067,139.8081255,Other
Shibuya Scramble Crossing,35.6594863,139.6979847,Street
Imperial Palace East National Gardens,35.6595534,139.6593598,Park
Akihabara Electric Town, Tokyo, Japan,35.6999504,139.767156,Shop
Meiji Jingu,35.6764019,139.696751,Shrine
Takeshita Street Square,35.6711984,139.7019878,Shop
teamLab Planets TOKYO DMM,35.649125,139.787199,Other
Shinjuku City, Tokyo, Japan,35.7016516,139.6679975,Street

Skylounge Rooftop,39.5093627,2.7476631,Restaurant